Date,Close,High,Low,Open,Volume
05-09-2025,385.6000061,386.3999939,381.7000122,381.7000122,16
08-09-2025,397.7999878,399.75,385.25,386,16
09-09-2025,393,403.75,393,403.75,10
10-09-2025,401,399.3500061,397.5499878,397.7000122,12
11-09-2025,400.0499878,400.5,399.8999939,399.8999939,14
12-09-2025,410.6499939,410.6499939,410.6499939,410.6499939,0
15-09-2025,432.3500061,425.1499939,422.8999939,422.8999939,24
16-09-2025,422.25,431.2999878,422,428.7000122,20
17-09-2025,388.5499878,388.5499878,388.5499878,388.5499878,1
18-09-2025,385.8500061,385.8500061,385.8500061,385.8500061,18176
19-09-2025,366.5,384.3999939,356.25,381.7999878,25299
22-09-2025,367.3500061,370.1499939,360.5499878,369.2000122,12986
23-09-2025,350.1499939,368.8500061,349.4500122,365.5,25338
24-09-2025,367.75,368.75,350.9500122,351.8999939,18066
25-09-2025,371.3500061,378.3999939,361.25,371.5,14512
26-09-2025,378.0499878,384,372.6000061,375,14478
29-09-2025,372.2000122,388.2999878,370.2999878,381.0499878,14283
30-09-2025,374.8500061,380.7000122,370.5,373.2000122,13057
01-10-2025,383.8999939,384.6000061,366.6000061,372.3500061,13230
02-10-2025,378.1000061,386.2000122,375.1000061,385.25,8361
03-10-2025,390.75,392.3500061,381.0499878,383.25,12450
06-10-2025,381.3500061,390.3500061,377.5,384.8999939,13524
07-10-2025,375.3999939,382.2999878,372.1499939,381.6000061,12068
08-10-2025,385.1000061,386.2000122,373.9500122,376.8500061,12511
09-10-2025,377.25,387.9500122,376.7000122,385.5,10116
10-10-2025,373.0499878,382.8500061,370.6000061,376.7999878,12380
13-10-2025,385.2000122,387.1000061,373.2000122,373.2000122,12110
14-10-2025,399.6499939,405.25,381.3999939,383.3500061,20989
15-10-2025,394.8999939,418.5,390.1499939,399.7000122,21015
16-10-2025,393.7999878,404.0499878,385.75,388.8500061,13004
17-10-2025,397.4500122,401.8999939,386.25,392.9500122,14466
20-10-2025,406.0499878,410.0499878,401.2999878,401.2999878,10302
21-10-2025,413.5499878,415,402.2000122,404.2000122,11818
22-10-2025,420.8500061,427,413.75,416,16422
23-10-2025,410.1499939,437.9500122,408,422.8999939,21413
24-10-2025,403,414.2999878,399.9500122,411.0499878,13968
27-10-2025,390.1000061,400.6499939,388.3999939,397,0
28-10-2025,387.8999939,395,380.3999939,390,16872
29-10-2025,390.7000122,392.4500122,382.1499939,390.8500061,13190
30-10-2025,392,394.7000122,382.8500061,394.7000122,12546
31-10-2025,392.0499878,396.6000061,385,393.5499878,10840
03-11-2025,406.6499939,409.3999939,392.75,392.75,15572
04-11-2025,405.25,415.9500122,403.2000122,408.0499878,13464
05-11-2025,413.6000061,418.0499878,403,403.3500061,19192
06-11-2025,396.75,416.25,395.75,415.5,18050
07-11-2025,407.7999878,412.6499939,393.6499939,399.0499878,20882
